Layer_1 5538 | Layer_2 24203 | Layer_3 75077
Epoch 00000 | Loss 2.6292 | Accuracy 0.4919 | Time : 2.2729 | loop 0.5028 | Model 1.7699 | x_y_time 0.0029 | pred 1.2203 | loss_time 0.0062
Epoch 00001 | Loss 1.9467 | Accuracy 0.5479 | Time : 1.3292 | loop 0.4511 | Model 0.8779 | x_y_time 0.0014 | pred 0.3286 | loss_time 0.0061
Epoch 00002 | Loss 1.7470 | Accuracy 0.5646 | Time : 1.3240 | loop 0.4483 | Model 0.8756 | x_y_time 0.0014 | pred 0.3297 | loss_time 0.0060
Epoch 00003 | Loss 1.6517 | Accuracy 0.5761 | Time : 1.3260 | loop 0.4500 | Model 0.8759 | x_y_time 0.0014 | pred 0.3266 | loss_time 0.0061
Epoch 00004 | Loss 1.5925 | Accuracy 0.5847 | Time : 1.3289 | loop 0.4525 | Model 0.8763 | x_y_time 0.0014 | pred 0.3285 | loss_time 0.0060
Epoch 00005 | Loss 1.5553 | Accuracy 0.5870 | Time : 1.3253 | loop 0.4482 | Model 0.8769 | x_y_time 0.0014 | pred 0.3286 | loss_time 0.0060
Epoch 00006 | Loss 1.5315 | Accuracy 0.5895 | Time : 1.3166 | loop 0.4457 | Model 0.8708 | x_y_time 0.0014 | pred 0.3261 | loss_time 0.0060
Epoch 00007 | Loss 1.5055 | Accuracy 0.5885 | Time : 1.3231 | loop 0.4481 | Model 0.8749 | x_y_time 0.0014 | pred 0.3291 | loss_time 0.0061
Epoch 00008 | Loss 1.4881 | Accuracy 0.5928 | Time : 1.3139 | loop 0.4459 | Model 0.8678 | x_y_time 0.0014 | pred 0.3256 | loss_time 0.0061
Epoch 00009 | Loss 1.4721 | Accuracy 0.5926 | Time : 1.3299 | loop 0.4515 | Model 0.8782 | x_y_time 0.0015 | pred 0.3294 | loss_time 0.0061
Epoch 00010 | Loss 1.4642 | Accuracy 0.5913 | Time : 1.3126 | loop 0.4434 | Model 0.8691 | x_y_time 0.0014 | pred 0.3243 | loss_time 0.0061
Epoch 00011 | Loss 1.4429 | Accuracy 0.5979 | Time : 1.3185 | loop 0.4453 | Model 0.8731 | x_y_time 0.0014 | pred 0.3279 | loss_time 0.0062
Epoch 00012 | Loss 1.4401 | Accuracy 0.5969 | Time : 1.3120 | loop 0.4437 | Model 0.8682 | x_y_time 0.0014 | pred 0.3250 | loss_time 0.0061
Epoch 00013 | Loss 1.4313 | Accuracy 0.6013 | Time : 1.3196 | loop 0.4477 | Model 0.8718 | x_y_time 0.0014 | pred 0.3276 | loss_time 0.0060
Epoch 00014 | Loss 1.4246 | Accuracy 0.5997 | Time : 1.3190 | loop 0.4451 | Model 0.8738 | x_y_time 0.0014 | pred 0.3261 | loss_time 0.0062
Epoch 00015 | Loss 1.4172 | Accuracy 0.5987 | Time : 1.3148 | loop 0.4461 | Model 0.8685 | x_y_time 0.0014 | pred 0.3257 | loss_time 0.0061
Epoch 00016 | Loss 1.4111 | Accuracy 0.5957 | Time : 1.3169 | loop 0.4446 | Model 0.8722 | x_y_time 0.0014 | pred 0.3269 | loss_time 0.0062
Epoch 00017 | Loss 1.4074 | Accuracy 0.6030 | Time : 1.3155 | loop 0.4456 | Model 0.8697 | x_y_time 0.0014 | pred 0.3251 | loss_time 0.0061
Epoch 00018 | Loss 1.4019 | Accuracy 0.5915 | Time : 1.3182 | loop 0.4469 | Model 0.8711 | x_y_time 0.0014 | pred 0.3268 | loss_time 0.0064
Epoch 00019 | Loss 1.4013 | Accuracy 0.6043 | Time : 1.3132 | loop 0.4438 | Model 0.8693 | x_y_time 0.0014 | pred 0.3253 | loss_time 0.0061
Epoch 00020 | Loss 1.3938 | Accuracy 0.6021 | Time : 1.3152 | loop 0.4450 | Model 0.8701 | x_y_time 0.0014 | pred 0.3267 | loss_time 0.0061
Epoch 00021 | Loss 1.3877 | Accuracy 0.6040 | Time : 1.3238 | loop 0.4499 | Model 0.8737 | x_y_time 0.0014 | pred 0.3287 | loss_time 0.0060
Epoch 00022 | Loss 1.3849 | Accuracy 0.6021 | Time : 1.3186 | loop 0.4461 | Model 0.8724 | x_y_time 0.0014 | pred 0.3277 | loss_time 0.0064
Epoch 00023 | Loss 1.3820 | Accuracy 0.6039 | Time : 1.3267 | loop 0.4518 | Model 0.8747 | x_y_time 0.0015 | pred 0.3286 | loss_time 0.0062
Epoch 00024 | Loss 1.3821 | Accuracy 0.6040 | Time : 1.3135 | loop 0.4438 | Model 0.8695 | x_y_time 0.0014 | pred 0.3253 | loss_time 0.0061
Epoch 00025 | Loss 1.3762 | Accuracy 0.6011 | Time : 1.3174 | loop 0.4458 | Model 0.8715 | x_y_time 0.0014 | pred 0.3263 | loss_time 0.0061
Epoch 00026 | Loss 1.3726 | Accuracy 0.6048 | Time : 1.3110 | loop 0.4435 | Model 0.8674 | x_y_time 0.0014 | pred 0.3242 | loss_time 0.0061
Epoch 00027 | Loss 1.3659 | Accuracy 0.6048 | Time : 1.3218 | loop 0.4477 | Model 0.8740 | x_y_time 0.0014 | pred 0.3285 | loss_time 0.0060
Epoch 00028 | Loss 1.3704 | Accuracy 0.6023 | Time : 1.3149 | loop 0.4440 | Model 0.8707 | x_y_time 0.0014 | pred 0.3249 | loss_time 0.0061
Epoch 00029 | Loss 1.3664 | Accuracy 0.6029 | Time : 1.3163 | loop 0.4454 | Model 0.8707 | x_y_time 0.0014 | pred 0.3269 | loss_time 0.0061
Epoch 00030 | Loss 1.3587 | Accuracy 0.6042 | Time : 1.3161 | loop 0.4457 | Model 0.8703 | x_y_time 0.0014 | pred 0.3261 | loss_time 0.0063
Epoch 00031 | Loss 1.3607 | Accuracy 0.6029 | Time : 1.3116 | loop 0.4446 | Model 0.8668 | x_y_time 0.0014 | pred 0.3246 | loss_time 0.0061
Epoch 00032 | Loss 1.3578 | Accuracy 0.6076 | Time : 1.3134 | loop 0.4435 | Model 0.8697 | x_y_time 0.0014 | pred 0.3251 | loss_time 0.0064
Epoch 00033 | Loss 1.3575 | Accuracy 0.6013 | Time : 1.3264 | loop 0.4498 | Model 0.8764 | x_y_time 0.0014 | pred 0.3288 | loss_time 0.0063
Epoch 00034 | Loss 1.3584 | Accuracy 0.6065 | Time : 1.3179 | loop 0.4466 | Model 0.8712 | x_y_time 0.0014 | pred 0.3261 | loss_time 0.0063
Epoch 00035 | Loss 1.3520 | Accuracy 0.6057 | Time : 1.3229 | loop 0.4477 | Model 0.8751 | x_y_time 0.0014 | pred 0.3278 | loss_time 0.0061
Epoch 00036 | Loss 1.3493 | Accuracy 0.6044 | Time : 1.3103 | loop 0.4430 | Model 0.8671 | x_y_time 0.0014 | pred 0.3252 | loss_time 0.0061
